date,week,url,primary_keyword,index_status,gsc_impressions,gsc_clicks,gsc_ctr_percent,gsc_avg_position,organic_leads_form,organic_leads_email,source_notes,next_action
2026-05-11,7,/,webdesign pfalz,indexed,286,4,1.4,9.88,0,0,"GSC Export 2026-05-11; Hauptquelle für aktuelle Sichtbarkeit","Title/Description auf CTR prüfen und interne Links weiter stärken"
2026-05-11,7,/leistungen,webdesign pfalz,indexed,11,0,0,3.73,0,0,"GSC Export 2026-05-11; gute Grundposition, aber keine Klicks","Leistungsseite intern stärker pushen und Snippet testen"
2026-05-11,7,/leistungen/webdesign-pfalz,webdesign pfalz,unknown,0,0,0,0,0,0,"Nicht in Top-Seiten des GSC Exports sichtbar","Nach Deploy gezielt per URL-Prüfung und Query-Daten kontrollieren"
2026-05-11,7,/leistungen/webentwicklung-pfalz,webentwicklung pfalz,pending,0,0,0,0,0,0,"Neue SEO-Seite angelegt, noch nicht live gemessen","Nach Deploy in GSC einreichen und erste Indexierung prüfen"
2026-05-11,7,/leistungen/website-relaunch,website relaunch pfalz,unknown,0,0,0,0,0,0,"Nicht in Top-Seiten des GSC Exports sichtbar","Interne Links und spätere Query-Daten prüfen"
2026-05-11,7,/leistungen/website-wartung,website wartung pfalz,unknown,0,0,0,0,0,0,"Nicht in Top-Seiten des GSC Exports sichtbar","Nach Indexstatus und Suchanfragen prüfen"
2026-05-11,7,/branchen,branchen websites pfalz,indexed,1,0,0,3,0,0,"GSC Export 2026-05-11; fast keine Nachfrage sichtbar","Branchenübersicht intern stärker verlinken"
2026-05-11,7,/branchen/ferienwohnung-website,website für ferienwohnung pfalz,unknown,0,0,0,0,0,0,"Nicht in Top-Seiten des GSC Exports sichtbar","Indexstatus und Keyword-Abdeckung separat prüfen"
2026-05-11,7,/branchen/handwerk-website,website für handwerksbetrieb pfalz,pending,0,0,0,0,0,0,"Neue SEO-Seite angelegt, noch nicht live gemessen","Nach Deploy in GSC einreichen und erste Indexierung prüfen"
2026-05-11,7,/branchen/restaurant-website,website für restaurant pfalz,indexed,1,0,0,8,0,0,"GSC Export 2026-05-11; geringe Sichtbarkeit ohne Klicks","Content und interne Links für Gastronomie-Intent stärken"
2026-05-11,7,/branchen/weingut-sektgut-website,website für weingut pfalz,indexed,3,0,0,10,0,0,"GSC Export 2026-05-11; erste Impressionen vorhanden","Snippets und interne Links für Wein-Intent ausbauen"
2026-05-11,7,/orte,webdesign ortsseiten pfalz,unknown,0,0,0,0,0,0,"Nicht in Top-Seiten des GSC Exports sichtbar","Ortsübersicht nach Deploy und interner Verlinkung prüfen"
2026-05-11,7,/orte/webdesign-neustadt,webdesign neustadt an der weinstrasse,unknown,0,0,0,0,0,0,"Seite live, aber nicht in Top-Seiten des GSC Exports","Lokalen Query-Report in GSC prüfen"
2026-05-11,7,/orte/webdesign-landau,webdesign landau in der pfalz,unknown,0,0,0,0,0,0,"Seite live, aber nicht in Top-Seiten des GSC Exports","Lokalen Query-Report in GSC prüfen"
2026-05-11,7,/orte/webdesign-speyer,webdesign speyer,unknown,0,0,0,0,0,0,"Seite live, aber nicht in Top-Seiten des GSC Exports","Lokalen Query-Report in GSC prüfen"
2026-05-11,7,/ratgeber/website-checkliste-lokale-betriebe,website checkliste lokale betriebe,pending,0,0,0,0,0,0,"Neue Ratgeberseite angelegt, noch nicht live gemessen","Nach Deploy in GSC einreichen und interne Klickpfade beobachten"
2026-05-11,7,/ratgeber/website-kosten-pfalz,website kosten pfalz,pending,0,0,0,0,0,0,"Neue Ratgeberseite angelegt, noch nicht live gemessen","Nach Deploy in GSC einreichen und Preis-Intent-Queries prüfen"
